CID,Name,log_vp,vp
234237,Jasmonyl ,-2.814805746078491,0.0015317724491313073
235414,pentalide,-2.332123041152954,0.004654542057418847
240122,guaiyl acetate ,-3.9113078117370605,0.00012265695762196327
249494,hydroxy citronellol ,-1.8639030456542969,0.013680341991661056
439570,l-carvone ,0.726042628288269,5.321604910552908
440968,alpha-pinene ,-3.9113078117370605,0.00012265695762196327
517827,cyclamen aldehyde ,-2.209324598312378,0.006175546578434001
519382,dihydro beta-ionone ,-1.2797737121582031,0.05250809808607763
520506,alpha-damascone ,-3.9113078117370605,0.00012265695762196327
522514,limetol,-0.6310839056968689,0.23383854189360695
526760,allyl amyl glycolate ,-3.9113078117370605,0.00012265695762196327
637511,cinnamic aldehyde,-1.5391021572434522,0.028899999999999995
637520,methyl cinnamate ,-1.3923892974853516,0.040514520428210535
637531,isobornyl acetate ,-3.9113078117370605,0.00012265695762196327
637566,geraniol ,-1.221929907798767,0.059988788630327645
637758,ethyl cinnamate ,-1.6984082460403442,0.020025886664092222
637776,methyl isoeugenol ,-1.6221402883529663,0.02387040082661018
638011,citral ,1.3485851287841797,22.314395630747775
643820,nerol ,0.3010299956639812,2.0
853433,isoeugenol ,-1.6989700043360187,0.020000000000000004
929336,nopyl acetate ,-2.5238077640533447,0.0029935894246853737
1268142,nootkatone ,-2.9588332176208496,0.0010994279723772285
1549018,cis-jasmone ,-1.249194622039795,0.056338512732464804
1549025,neryl acetate ,-1.971034288406372,0.010689704785621404
1549026,geranyl acetate ,-1.6989700043360187,0.020000000000000004
2733294,trans-2-hexenyl acetate ,-0.2573445439338684,0.5529112875757799
3017432,florosa,-1.2410218715667725,0.057408754977376276
3017783,melusat ,-1.6484596729278564,0.02246675384753302
3782139,gravenone ,-0.9328528642654419,0.11672049904363663
5281167,cis-3-hexenol ,0.019468577578663826,1.045848017694272
5281168,trans-2-hexenal ,0.7650996446609497,5.822367910370921
5281515,beta-caryophyllene,-1.9195446968078613,0.012035255187327924
5282108,alpha-ionone ,-1.7212463990471711,0.018999999999999996
5282110, cinnamyl acetate,-1.9193817377090454,0.012039771989693812
5283345,trans-2-decenal ,-1.4752380847930908,0.033478185791365196
5283361,mandarine aldehyde ,-1.5598443746566772,0.02755215832145813
5284507,nerolidol ,-2.7583329677581787,0.0017444841674494125
5315892,cinnamic alcohol ,-1.3734654188156128,0.04231892052893774
5318042,trans-2-hexen-1-ol ,0.024626538157463074,1.0583432351218498
5325830,terpinene-4-ol ,-3.9113078117370605,0.00012265695762196327
5352438,cis-3-hexenyl butyrate ,-1.09880793094635,0.0796511534013138
5352481,beta-ionone epoxide ,-3.9113078117370605,0.00012265695762196327
5352539,cis-3-hexenyl isobutyrate ,-1.0611357688903809,0.08686888178359356
5352543,cis-3-hexenyl hexanoate ,-2.1313533782958984,0.007390037151510731
5355856,geranyl butyrate ,-3.9113078117370605,0.00012265695762196327
5362620,cis-4-decenal ,-0.925716757774353,0.1186542346127135
5362720,cis-6-nonenal ,-0.6076837778091431,0.24678355846347655
5362792,cis-6-nonen-1-ol ,-1.424228549003601,0.03765056094339639
5362814,cis-4-heptenal ,0.45416459441185,2.845539341578383
5362833,"2,6-nonadienol ",-0.9436674118041992,0.1138498828834494
5363388,cis-3-hexenyl acetate ,-0.11369171738624573,0.7696765990060781
5365699,liffarome ,-1.104106068611145,0.07868535913969842
5365916,delta-damascone ,-1.811537742614746,0.015433422924359745
5365976,allyl alpha-ionone ,-3.11704683303833,0.0007637534182166833
