Eig07_AEA_dm_,HTm,Eig09_AEA_ri_,ATS6m,Mor11u,SpDiam_X,Psi_i_0d,SpMaxA_AEA_dm_,P_VSA_v_2,Mor17v,BP,log_vp,vp
-1.0,2.441,-0.88,2.222,-1.707,2.0,0.006,0.37,42.683,-0.485,164.28076450162905,-0.6061041951179504,0.2476827750472884
1.012,4.273,0.639,2.589,-1.071,1.965,0.0,0.219,36.145,-0.467,277.6280504410313,-2.852336168289185,0.001404959585596
0.642,4.07,0.238,1.811,-0.276,1.951,-0.001,0.235,22.0,-0.306,239.5285035175475,-1.6155641078948977,0.024234602017789
1.115,5.078,0.521,3.231,-1.861,2.0,0.0,0.194,25.145,-0.603,264.51371546767825,-4.174659729003906,6.688677721757312e-05
0.68,4.251,0.056,1.705,-3.426,1.963,0.0,0.23,25.145,-0.76,270.69275739577165,-2.614672899246216,0.0024284384512212
1.077,4.866,0.864,3.232,-1.892,1.978,0.0,0.192,11.0,-0.696,294.4133104353254,-3.263603497723357,0.000545
0.416,4.652,0.0,2.723,-1.744,2.0,0.0,0.222,67.828,-0.444,270.03371812660066,-3.105186700820923,0.0007848981386572
0.599,3.964,0.0,1.631,-2.059,1.957,0.0,0.257,25.145,-0.496,243.00211953551135,-2.2340023517608643,0.0058344194485149
-0.07,3.86,0.045,2.443,-1.605,2.0,0.001,0.261,25.145,-0.315,261.49039042720665,-1.943605899810791,0.0113866009335685
0.532,4.114,0.0,2.508,-1.222,2.0,0.001,0.228,25.145,-0.496,228.0,-1.8977587223052976,0.0126543918267726
-0.554,3.144,-0.692,1.028,-1.283,2.0,0.006,0.329,25.145,-0.237,149.24923537473114,-0.5970200896263123,0.2529180998698145
1.0,4.601,1.0,3.225,-2.879,2.0,0.0,0.171,22.0,-0.913,252.2769573587634,-2.596045970916748,0.002534860296397
-0.845,2.863,-0.786,1.275,-1.033,2.0,0.006,0.32,25.145,-0.355,142.19012394165816,-0.5297536253929138,0.2952883918206769
1.0,6.245,0.642,2.866,-0.557,2.0,0.0,0.218,78.828,-0.278,282.7839537937017,-3.720224857330322,0.0001904474415052
-0.553,2.795,-0.591,2.18,-1.496,2.0,-0.004,0.373,25.145,-0.3,144.56259140843326,-0.0185278467833995,0.9582352726853052
1.046,5.615,0.531,3.07,-1.534,1.975,0.0,0.238,61.29,-0.407,234.11425899300843,-3.1310997009277344,0.0007394355034593
-0.072,3.141,-0.517,2.395,-1.753,2.0,0.002,0.345,36.145,-0.548,175.8217895004626,-0.421966016292572,0.3784721991511025
,,,,,,,,,,185.0123828835061,-3.911307811737061,0.0001226569576219
0.73,4.191,0.232,3.041,-2.065,2.0,0.0,0.236,47.145,-0.659,226.4932415455403,-3.026888847351074,0.0009399638526563
