,CID,Canonical_Name,Imax,vp_exp,predicted_log_vp,vp_source,log_vp
276,8347,VETIVER ACETATE,61.0,,-4.235620498657227,predicted,-4.235620498657227
277,8361,PHENYL SALICYLATE,33.0,,-4.368008613586426,predicted,-4.368008613586426
278,8363,BENZYL SALICYLATE,15.0,7.8e-05,0.0,experimental,-4.107905397309519
280,8364,2-ETHYLHEXYL SALICYLATE,11.0,,-4.069427013397217,predicted,-4.069427013397217
281,8365,ETHYL SALICYLATE,55.0,,-3.0608625411987305,predicted,-3.0608625411987305
282,8369,MALTOL,42.0,,-2.3604824542999268,predicted,-2.3604824542999268
283,8400,BENZOIN OIL,11.0,,-4.457677364349365,predicted,-4.457677364349365
284,8405,ISOQUINOLINE,50.0,,-1.2696248292922974,predicted,-1.2696248292922974
285,8419,VERATRALDEHYDE,30.0,,-1.904006838798523,predicted,-1.904006838798523
286,8432,STYRALLYL PROPIONATE,30.0,,-1.6351699829101562,predicted,-1.6351699829101562
287,8452,CYCLOPENTANONE,32.0,11.4,0.0,experimental,1.0569048513364727
288,8456,3-TERT-BUTYL HYDROXY ANISOLE,16.0,,-2.0086777210235596,predicted,-2.0086777210235596
289,8468,P-VANILLIC ACID,12.0,,-4.193241596221924,predicted,-4.193241596221924
290,8471,TRIETHYL AMINE,100.0,54.00444133,0.0,experimental,1.73242947770806
291,8499,METHYL ANISATE,30.0,,-1.8753975629806519,predicted,-1.8753975629806519
292,8500,P-METHYL ACETOPHENONE,40.0,,-0.8920972943305969,predicted,-0.8920972943305969
293,8655,SYRINGALDEHYDE,28.0,,-3.885559558868408,predicted,-3.885559558868408
294,8698,BUTYL BENZOATE,36.0,0.01,0.0,experimental,-2.0
295,8710,FLEURAMONE,47.0,,-1.282217264175415,predicted,-1.282217264175415
296,8712,O-THIOCRESOL,90.0,0.816,0.0,experimental,-0.08830984124613889
297,8723,2-METHYL-1-BUTANOL,70.0,3.15025908,0.0,experimental,0.49834627200785353
298,8738,BUTYL LACTATE,50.0,0.4,0.0,experimental,-0.3979400086720376
300,8785,BENZYL ACETATE,36.0,1.4251172,0.0,experimental,0.15385058169208776
